episode,score
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,2
13,1
14,1
15,1
16,2
17,1
18,1
19,3
20,1
21,3
22,1
23,1
24,2
25,1
26,1
27,5
28,2
29,2
30,4
31,2
32,4
33,3
34,3
35,2
36,3
37,2
38,3
39,3
40,4
41,3
42,3
43,2
44,1
45,4
46,3
47,2
48,4
49,1
50,1
51,3
52,3
53,4
54,5
55,3
56,2
57,4
58,5
59,6
60,5
61,3
62,2
63,3
64,4
65,1
66,4
67,1
68,4
69,4
70,4
71,4
72,1
73,3
74,3
75,4
76,3
77,3
78,6
79,2
80,8
81,3
82,3
83,9
84,5
85,3
86,3
87,4
88,3
89,5
90,3
91,3
92,6
93,5
94,4
95,5
96,3
97,3
98,5
99,3
100,3
101,3
102,1
103,3
104,3
105,3
106,5
107,5
108,5
109,4
110,6
111,4
112,4
113,3
114,3
115,5
116,6
117,3
118,5
119,7
120,13
121,8
122,5
123,7
124,4
125,8
126,15
127,8
128,4
129,4
130,6
131,6
132,5
133,7
134,5
135,1
136,9
137,3
138,6
139,5
140,10
141,4
142,5
143,7
144,7
145,6
146,5
147,5
148,4
149,5
150,5
151,7
152,5
153,2
154,1
155,5
156,5
157,3
158,4
159,5
160,3
161,7
162,5
163,4
164,3
165,4
166,4
167,4
168,3
169,6
170,9
171,7
172,6
173,10
174,7
175,7
176,11
177,9
178,8
179,8
180,5
181,7
182,6
183,6
184,11
185,6
186,2
187,6
188,1
189,10
190,5
191,9
192,7
193,9
194,8
195,8
196,3
197,10
198,11
199,8
200,5
201,3
202,12
203,6
204,9
205,20
206,8
207,14
208,18
209,6
210,11
211,9
212,20
213,10
214,15
215,12
216,21
217,20
218,3
219,4
220,8
221,15
222,9
223,16
224,8
225,10
226,7
227,7
228,11
229,13
230,14
231,20
232,7
233,18
234,9
235,22
236,18
237,21
238,18
239,4
240,19
241,16
242,20
243,17
244,16
245,24
246,19
247,22
248,23
249,20
250,21
251,20
252,5
253,7
254,12
255,22
256,21
257,9
258,22
259,5
260,25
261,21
262,21
263,14
264,19
265,18
266,22
267,24
268,24
269,20
270,15
271,25
272,16
273,20
274,21
275,24
276,23
277,12
278,22
279,19
280,24
281,24
282,14
283,16
284,18
285,18
286,5
287,6
288,16
289,9
290,22
291,25
292,22
293,21
294,16
295,20
296,10
297,25
298,24
299,11
300,4
301,23
302,23
303,17
304,11
305,25
306,25
307,27
308,21
309,22
310,16
311,15
312,7
313,16
314,20
315,23
316,9
317,10
318,18
319,14
320,15
321,16
322,24
323,14
324,20
325,21
326,22
327,24
328,12
329,29
330,22
331,24
332,26
333,27
334,16
335,18
336,7
337,20
338,20
339,24
340,21
341,19
342,5
343,17
344,22
345,22
346,15
347,26
348,24
349,14
350,27
351,25
352,30
353,22
354,14
355,24
356,24
357,9
358,22
359,17
360,25
361,10
362,22
363,19
364,24
365,19
366,18
367,19
368,18
369,17
370,21
371,16
372,18
373,17
374,22
375,27
376,27
377,20
378,9
379,7
380,22
381,11
382,23
383,17
384,18
385,15
386,20
387,19
388,21
389,21
390,17
391,21
392,19
393,20
394,20
395,26
396,16
397,16
398,24
399,23
400,26
401,4
402,14
403,16
404,23
405,21
406,16
407,7
408,16
409,18
410,5
411,12
412,21
413,25
414,19
415,11
416,31
417,26
418,23
419,26
420,12
421,35
422,9
423,28
424,21
425,17
426,16
427,20
428,18
429,19
430,25
431,19
432,15
433,19
434,21
435,14
436,20
437,17
438,17
439,18
440,18
441,11
442,22
443,20
444,25
445,26
446,19
447,16
448,21
449,19
450,19
451,18
452,21
453,18
454,21
455,20
456,20
457,19
458,18
459,18
460,20
461,23
462,19
463,21
464,23
465,22
466,31
467,32
468,22
469,19
470,22
471,26
472,25
473,5
474,20
475,22
476,21
477,22
478,21
479,16
480,23
481,7
482,16
483,22
484,25
485,20
486,16
487,12
488,18
489,18
490,24
491,26
492,27
493,18
494,23
495,22
496,16
497,26
498,9
499,20
500,21
501,23
502,24
503,21
504,9
505,14
506,22
507,31
508,22
509,16
510,15
511,19
512,23
513,6
514,18
515,15
516,23
517,32
518,19
519,29
520,22
521,24
522,30
523,25
524,16
525,25
526,34
527,31
528,17
529,24
530,20
531,24
532,10
533,23
534,18
535,24
536,21
537,9
538,25
539,16
540,22
541,17
542,20
543,25
544,29
545,13
546,29
547,30
548,8
549,23
550,26
551,11
552,31
553,24
554,22
555,20
556,20
557,28
558,17
559,27
560,25
561,30
562,18
563,22
564,26
565,33
566,26
567,22
568,31
569,34
570,21
571,27
572,23
573,10
574,15
575,17
576,8
577,10
578,18
579,16
580,24
581,22
582,17
583,13
584,8
585,19
586,24
587,32
588,6
589,26
590,21
591,19
592,33
593,18
594,22
595,24
596,17
597,20
598,22
599,33
600,21
601,24
602,28
603,27
604,7
605,20
606,16
607,12
608,20
609,12
610,22
611,17
612,19
613,4
614,13
615,16
616,22
617,18
618,24
619,27
620,21
621,25
622,27
623,24
624,32
625,13
626,29
627,25
628,16
629,9
630,26
631,21
632,35
633,25
634,20
635,37
636,27
637,4
638,20
639,23
640,21
641,7
642,22
643,23
644,18
645,18
646,19
647,18
648,26
649,14
650,18
651,18
652,32
653,24
654,33
655,21
656,27
657,32
658,25
659,24
660,36
661,27
662,27
663,19
664,9
665,17
666,23
667,19
668,30
669,25
670,15
671,25
672,15
673,20
674,18
675,18
676,17
677,21
678,23
679,24
680,24
681,2
682,22
683,23
684,7
685,4
686,10
687,20
688,28
689,25
690,21
691,29
692,9
693,26
694,26
695,10
696,24
697,23
698,19
699,22
700,21
701,20
702,3
703,14
704,20
705,19
706,25
